Kat [deg]	Moment obrotowy [mNm]
0,00	-5,342
0,03	-5,415
0,06	-5,285
0,09	-5,305
0,12	-5,270
0,15	-5,441
0,18	-5,390
0,21	-5,436
0,24	-5,555
0,27	-5,363
0,30	-5,582
0,33	-5,389
0,36	-5,433
0,39	-5,353
0,42	-5,448
0,45	-5,398
0,48	-5,350
0,51	-5,300
0,54	-5,412
0,57	-5,419
0,60	-5,468
0,63	-5,353
0,66	-5,456
0,69	-5,359
0,72	-5,355
0,75	-5,381
0,78	-5,320
0,81	-5,415
0,84	-5,344
0,87	-5,452
0,90	-5,408
0,93	-5,516
0,96	-5,464
0,99	-5,402
1,02	-5,234
1,05	-5,316
1,08	-5,468
1,11	-5,419
1,14	-5,405
1,17	-5,524
1,20	-5,510
1,23	-5,413
1,26	-5,383
1,29	-5,378
1,32	-5,383
1,35	-5,505
1,38	-5,459
1,41	-5,427
1,44	-5,458
1,47	-5,527
1,50	-5,597
1,53	-5,568
1,56	-5,515
1,59	-5,437
1,62	-5,542
1,65	-5,429
1,68	-5,606
1,71	-5,509
1,74	-5,511
1,77	-5,386
1,80	-5,411
1,83	-5,603
1,86	-5,429
1,89	-5,514
1,92	-5,571
1,95	-5,480
1,98	-5,645
2,01	-5,432
2,04	-5,492
2,07	-5,464
2,10	-5,464
2,13	-5,381
2,16	-5,563
2,19	-5,521
2,22	-5,512
2,25	-5,357
2,28	-5,456
2,31	-5,389
2,34	-5,454
2,37	-5,450
2,40	-5,441
2,43	-5,501
2,46	-5,673
2,49	-5,562
2,52	-5,449
2,55	-5,557
2,58	-5,522
2,61	-5,584
2,64	-5,411
2,67	-5,537
2,70	-5,426
2,73	-5,472
2,76	-5,663
2,79	-5,442
2,82	-5,532
2,85	-5,497
2,88	-5,508
2,91	-5,608
2,94	-5,464
2,97	-5,441
3,00	-5,370
3,03	-5,551
3,06	-5,578
3,09	-5,472
3,12	-5,576
3,15	-5,527
3,18	-5,435
3,21	-5,572
3,24	-5,369
3,27	-5,434
3,30	-5,473
3,33	-5,491
3,36	-5,581
3,39	-5,503
3,42	-5,536
3,45	-5,470
3,48	-5,612
3,51	-5,608
3,54	-5,495
3,57	-5,574
3,60	-5,462
3,63	-5,599
3,66	-5,506
3,69	-5,473
3,72	-5,582
3,75	-5,514
3,78	-5,578
3,81	-5,429
3,84	-5,517
3,87	-5,544
3,90	-5,700
3,93	-5,586
3,96	-5,476
3,99	-5,475
4,02	-5,503
4,05	-5,519
4,08	-5,516
4,11	-5,467
4,14	-5,543
4,17	-5,593
4,20	-5,523
4,23	-5,557
4,26	-5,566
4,29	-5,512
4,32	-5,478
4,35	-5,539
4,38	-5,446
4,41	-5,426
4,44	-5,587
4,47	-5,475
4,50	-5,401
4,53	-5,507
4,56	-5,464
4,59	-5,542
4,62	-5,481
4,65	-5,495
4,68	-5,447
4,71	-5,495
4,74	-5,589
4,77	-5,358
4,80	-5,589
4,83	-5,530
4,86	-5,516
4,89	-5,483
4,92	-5,532
4,95	-5,489
4,98	-5,367
5,01	-5,476
5,04	-5,387
5,07	-5,463
5,10	-5,562
5,13	-5,389
5,16	-5,535
5,19	-5,396
5,22	-5,495
5,25	-5,449
5,28	-5,515
5,31	-5,522
5,34	-5,502
5,37	-5,491
5,40	-5,415
5,43	-5,558
5,46	-5,575
5,49	-5,440
5,52	-5,600
5,55	-5,468
5,58	-5,534
5,61	-5,626
5,64	-5,643
5,67	-5,612
5,70	-5,441
5,73	-5,332
5,76	-5,587
5,79	-5,415
5,82	-5,512
5,85	-5,514
5,88	-5,525
5,91	-5,519
5,94	-5,549
5,97	-5,410
6,00	-5,509
6,03	-5,579
6,06	-5,534
6,09	-5,446
6,12	-5,526
6,15	-5,513
6,18	-5,446
6,21	-5,589
6,24	-5,468
6,27	-5,456
6,30	-5,575
6,33	-5,517
6,36	-5,534
6,39	-5,651
6,42	-5,496
6,45	-5,627
6,48	-5,479
6,51	-5,389
6,54	-5,611
6,57	-5,519
6,60	-5,570
6,63	-5,478
6,66	-5,551
6,69	-5,541
6,72	-5,438
6,75	-5,488
6,78	-5,462
6,81	-5,485
6,84	-5,566
6,87	-5,463
6,90	-5,513
6,93	-5,486
6,96	-5,635
6,99	-5,473
7,02	-5,548
7,05	-5,556
7,08	-5,612
7,11	-5,594
7,14	-5,519
7,17	-5,461
7,20	-5,543
7,23	-5,436
7,26	-5,469
7,29	-5,509
7,32	-5,558
7,35	-5,514
7,38	-5,445
7,41	-5,509
7,44	-5,462
7,47	-5,551
7,50	-5,533
7,53	-5,504
7,56	-5,545
7,59	-5,574
7,62	-5,385
7,65	-5,378
7,68	-5,490
7,71	-5,569
7,74	-5,511
7,77	-5,524
7,80	-5,528
7,83	-5,647
7,86	-5,638
7,89	-5,595
7,92	-5,598
7,95	-5,586
7,98	-5,459
8,01	-5,585
8,04	-5,647
8,07	-5,476
8,10	-5,399
8,13	-5,633
8,16	-5,422
8,19	-5,678
8,22	-5,560
8,25	-5,533
8,28	-5,503
8,31	-5,441
8,34	-5,537
8,37	-5,428
8,40	-5,483
8,43	-5,477
8,46	-5,408
8,49	-5,476
8,52	-5,498
8,55	-5,365
8,58	-5,505
8,61	-5,521
8,64	-5,384
8,67	-5,537
8,70	-5,454
8,73	-5,522
8,76	-5,491
8,79	-5,456
8,82	-5,489
8,85	-5,483
8,88	-5,431
8,91	-5,394
8,94	-5,506
8,97	-5,465
9,00	-5,479
9,03	-5,464
9,06	-5,517
9,09	-5,453
9,12	-5,522
9,15	-5,580
9,18	-5,521
9,21	-5,623
9,24	-5,410
9,27	-5,548
9,30	-5,365
9,33	-5,513
9,36	-5,479
9,39	-5,448
9,42	-5,417
9,45	-5,489
9,48	-5,443
9,51	-5,468
9,54	-5,391
9,57	-5,396
9,60	-5,462
9,63	-5,488
9,66	-5,426
9,69	-5,480
9,72	-5,483
9,75	-5,488
9,78	-5,399
9,81	-5,503
9,84	-5,442
9,87	-5,518
9,90	-5,436
9,93	-5,508
9,96	-5,480
9,99	-5,499
10,02	-5,349
10,05	-5,341
10,08	-5,332
10,11	-5,543
10,14	-5,331
10,17	-5,459
10,20	-5,513
10,23	-5,472
10,26	-5,514
10,29	-5,393
10,32	-5,472
10,35	-5,313
10,38	-5,435
10,41	-5,467
10,44	-5,496
10,47	-5,512
10,50	-5,587
10,53	-5,490
10,56	-5,390
10,59	-5,332
10,62	-5,437
10,65	-5,468
10,68	-5,422
10,71	-5,365
10,74	-5,394
10,77	-5,395
10,80	-5,390
10,83	-5,496
10,86	-5,402
10,89	-5,294
10,92	-5,479
10,95	-5,450
10,98	-5,467
11,01	-5,414
11,04	-5,322
11,07	-5,362
11,10	-5,384
11,13	-5,322
11,16	-5,491
11,19	-5,352
11,22	-5,307
11,25	-5,303
11,28	-5,333
11,31	-5,444
11,34	-5,389
11,37	-5,348
11,40	-5,341
11,43	-5,441
11,46	-5,469
11,49	-5,358
11,52	-5,470
11,55	-5,336
11,58	-5,435
11,61	-5,410
11,64	-5,496
11,67	-5,349
11,70	-5,351
11,73	-5,411
11,76	-5,365
11,79	-5,313
11,82	-5,373
11,85	-5,359
11,88	-5,290
11,91	-5,420
11,94	-5,512
11,97	-5,404
12,00	-5,461
12,03	-5,482
12,06	-5,306
12,09	-5,379
12,12	-5,282
12,15	-5,343
12,18	-5,422
12,21	-5,477
12,24	-5,463
12,27	-5,398
12,30	-5,400
12,33	-5,361
12,36	-5,318
12,39	-5,419
12,42	-5,309
12,45	-5,231
12,48	-5,357
12,51	-5,396
12,54	-5,414
12,57	-5,361
12,60	-5,369
12,63	-5,185
12,66	-5,334
12,69	-5,334
12,72	-5,338
12,75	-5,514
12,78	-5,464
12,81	-5,498
12,84	-5,395
12,87	-5,303
12,90	-5,406
12,93	-5,354
12,96	-5,377
12,99	-5,315
13,02	-5,412
13,05	-5,418
13,08	-5,408
13,11	-5,327
13,14	-5,336
13,17	-5,324
13,20	-5,255
13,23	-5,343
13,26	-5,359
13,29	-5,324
13,32	-5,347
13,35	-5,315
13,38	-5,204
13,41	-5,273
13,44	-5,224
13,47	-5,312
13,50	-5,347
13,53	-5,355
13,56	-5,327
13,59	-5,219
13,62	-5,326
13,65	-5,397
13,68	-5,395
13,71	-5,388
13,74	-5,295
13,77	-5,365
13,80	-5,395
13,83	-5,399
13,86	-5,323
13,89	-5,321
13,92	-5,447
13,95	-5,316
13,98	-5,381
14,01	-5,274
14,04	-5,362
14,07	-5,293
14,10	-5,428
14,13	-5,365
14,16	-5,283
14,19	-5,286
14,22	-5,370
14,25	-5,377
14,28	-5,339
14,31	-5,433
14,34	-5,243
14,37	-5,313
14,40	-5,312
14,43	-5,322
14,46	-5,293
14,49	-5,194
14,52	-5,305
14,55	-5,442
14,58	-5,457
14,61	-5,372
14,64	-5,506
14,67	-5,344
14,70	-5,396
14,73	-5,481
14,76	-5,297
14,79	-5,400
14,82	-5,308
14,85	-5,296
14,88	-5,379
14,91	-5,307
14,94	-5,201
14,97	-5,288
15,00	-5,338
15,03	-5,399
15,06	-5,309
15,09	-5,330
15,12	-5,301
15,15	-5,397
15,18	-5,239
15,21	-5,407
15,24	-5,243
15,27	-5,439
15,30	-5,442
15,33	-5,313
15,36	-5,364
15,39	-5,470
15,42	-5,343
15,45	-5,373
15,48	-5,434
15,51	-5,372
15,54	-5,337
15,57	-5,357
15,60	-5,515
15,63	-5,446
15,66	-5,402
15,69	-5,407
15,72	-5,449
15,75	-5,419
15,78	-5,342
15,81	-5,374
15,84	-5,268
15,87	-5,349
15,90	-5,336
15,93	-5,370
15,96	-5,320
15,99	-5,371
16,02	-5,324
16,05	-5,412
16,08	-5,444
16,11	-5,367
16,14	-5,508
16,17	-5,572
16,20	-5,419
16,23	-5,326
16,26	-5,439
16,29	-5,421
16,32	-5,551
16,35	-5,446
16,38	-5,319
16,41	-5,528
16,44	-5,466
16,47	-5,394
16,50	-5,549
16,53	-5,459
16,56	-5,496
16,59	-5,354
16,62	-5,450
16,65	-5,426
16,68	-5,344
16,71	-5,262
16,74	-5,312
16,77	-5,439
16,80	-5,424
16,83	-5,439
16,86	-5,339
16,89	-5,344
16,92	-5,517
16,95	-5,384
16,98	-5,334
17,01	-5,446
17,04	-5,515
17,07	-5,457
17,10	-5,373
17,13	-5,431
17,16	-5,512
17,19	-5,477
17,22	-5,356
17,25	-5,438
17,28	-5,490
17,31	-5,458
17,34	-5,419
17,37	-5,388
17,40	-5,517
17,43	-5,596
17,46	-5,517
17,49	-5,437
17,52	-5,518
17,55	-5,431
17,58	-5,436
17,61	-5,468
17,64	-5,629
17,67	-5,438
17,70	-5,459
17,73	-5,474
17,76	-5,514
17,79	-5,446
17,82	-5,455
17,85	-5,404
17,88	-5,407
17,91	-5,518
17,94	-5,475
17,97	-5,357
18,00	-5,386
18,03	-5,440
18,06	-5,296
18,09	-5,474
18,12	-5,422
18,15	-5,536
18,18	-5,456
18,21	-5,477
18,24	-5,498
18,27	-5,361
18,30	-5,516
18,33	-5,311
18,36	-5,454
18,39	-5,362
18,42	-5,614
18,45	-5,443
18,48	-5,502
18,51	-5,546
18,54	-5,479
18,57	-5,508
18,60	-5,477
18,63	-5,463
18,66	-5,446
18,69	-5,335
18,72	-5,404
18,75	-5,465
18,78	-5,340
18,81	-5,391
18,84	-5,545
18,87	-5,531
18,90	-5,453
18,93	-5,547
18,96	-5,376
18,99	-5,333
19,02	-5,515
19,05	-5,476
19,08	-5,568
19,11	-5,446
19,14	-5,391
19,17	-5,395
19,20	-5,415
19,23	-5,456
19,26	-5,475
19,29	-5,512
19,32	-5,368
19,35	-5,327
19,38	-5,496
19,41	-5,383
19,44	-5,372
19,47	-5,557
19,50	-5,425
19,53	-5,420
19,56	-5,450
19,59	-5,378
19,62	-5,518
19,65	-5,238
19,68	-5,399
19,71	-5,470
19,74	-5,260
19,77	-5,521
19,80	-5,333
19,83	-5,430
19,86	-5,432
19,89	-5,323
19,92	-5,453
19,95	-5,403
19,98	-5,453
20,01	-5,466
20,04	-5,457
20,07	-5,455
20,10	-5,328
20,13	-5,456
20,16	-5,503
20,19	-5,402
20,22	-5,431
20,25	-5,446
20,28	-5,478
20,31	-5,405
20,34	-5,422
20,37	-5,282
20,40	-5,332
20,43	-5,475
20,46	-5,242
20,49	-5,447
20,52	-5,433
20,55	-5,376
20,58	-5,324
20,61	-5,377
20,64	-5,192
20,67	-5,335
20,70	-5,371
20,73	-5,320
20,76	-5,388
20,79	-5,535
20,82	-5,504
20,85	-5,330
20,88	-5,409
20,91	-5,319
20,94	-5,242
20,97	-5,438
21,00	-5,308
21,03	-5,302
21,06	-5,503
21,09	-5,349
21,12	-5,460
21,15	-5,572
21,18	-5,398
21,21	-5,376
21,24	-5,422
21,27	-5,411
21,30	-5,394
21,33	-5,456
21,36	-5,486
21,39	-5,272
21,42	-5,385
21,45	-5,484
21,48	-5,385
21,51	-5,405
21,54	-5,575
21,57	-5,428
21,60	-5,341
21,63	-5,422
21,66	-5,533
21,69	-5,304
21,72	-5,460
21,75	-5,413
21,78	-5,393
21,81	-5,437
21,84	-5,340
21,87	-5,300
21,90	-5,433
21,93	-5,377
21,96	-5,429
21,99	-5,462
22,02	-5,383
22,05	-5,389
22,08	-5,423
22,11	-5,221
22,14	-5,544
22,17	-5,407
22,20	-5,418
22,23	-5,342
22,26	-5,355
22,29	-5,266
22,32	-5,389
22,35	-5,344
22,38	-5,368
22,41	-5,323
22,44	-5,491
22,47	-5,465
22,50	-5,514
22,53	-5,536
22,56	-5,446
22,59	-5,294
22,62	-5,572
22,65	-5,395
22,68	-5,400
22,71	-5,381
22,74	-5,483
22,77	-5,400
22,80	-5,459
22,83	-5,545
22,86	-5,508
22,89	-5,380
22,92	-5,439
22,95	-5,431
22,98	-5,387
23,01	-5,457
23,04	-5,459
23,07	-5,404
23,10	-5,433
23,13	-5,435
23,16	-5,270
23,19	-5,320
23,22	-5,421
23,25	-5,432
23,28	-5,448
23,31	-5,341
23,34	-5,339
23,37	-5,420
23,40	-5,335
23,43	-5,470
23,46	-5,405
23,49	-5,386
23,52	-5,343
23,55	-5,401
23,58	-5,355
23,61	-5,474
23,64	-5,276
23,67	-5,527
23,70	-5,362
23,73	-5,418
23,76	-5,431
23,79	-5,413
23,82	-5,387
23,85	-5,368
23,88	-5,392
23,91	-5,353
23,94	-5,385
23,97	-5,233
24,00	-5,358
24,03	-5,430
24,06	-5,395
24,09	-5,363
24,12	-5,321
24,15	-5,326
24,18	-5,336
24,21	-5,260
24,24	-5,363
24,27	-5,254
24,30	-5,147
24,33	-5,366
24,36	-5,239
24,39	-5,319
24,42	-5,322
24,45	-5,359
24,48	-5,356
24,51	-5,285
24,54	-5,375
24,57	-5,322
24,60	-5,291
24,63	-5,381
24,66	-5,434
24,69	-5,239
24,72	-5,220
24,75	-5,420
24,78	-5,278
24,81	-5,334
24,84	-5,207
24,87	-5,169
24,90	-5,308
24,93	-5,135
24,96	-5,220
24,99	-5,191
25,02	-5,203
25,05	-5,232
25,08	-5,095
25,11	-5,216
25,14	-5,172
25,17	-5,199
25,20	-5,263
25,23	-5,131
25,26	-5,210
25,29	-5,253
25,32	-5,240
25,35	-5,340
25,38	-5,345
25,41	-5,255
25,44	-5,164
25,47	-5,256
25,50	-5,299
25,53	-5,387
25,56	-5,246
25,59	-5,259
25,62	-5,350
25,65	-5,287
25,68	-5,237
25,71	-5,171
25,74	-5,312
25,77	-5,126
25,80	-5,279
25,83	-5,320
25,86	-5,061
25,89	-5,230
25,92	-5,200
25,95	-5,308
25,98	-5,244
26,01	-5,317
26,04	-5,271
26,07	-5,409
26,10	-5,236
26,13	-5,403
26,16	-5,280
26,19	-5,308
26,22	-5,399
26,25	-5,277
26,28	-5,318
26,31	-5,308
26,34	-5,364
26,37	-5,319
26,40	-5,362
26,43	-5,365
26,46	-5,332
26,49	-5,364
26,52	-5,251
26,55	-5,345
26,58	-5,139
26,61	-5,325
26,64	-5,277
26,67	-5,326
26,70	-5,385
26,73	-5,464
26,76	-5,284
26,79	-5,400
26,82	-5,327
26,85	-5,351
26,88	-5,243
26,91	-5,402
26,94	-5,286
26,97	-5,289
27,00	-5,381
27,03	-5,379
27,06	-5,334
27,09	-5,399
27,12	-5,412
27,15	-5,303
27,18	-5,428
27,21	-5,286
27,24	-5,471
27,27	-5,377
27,30	-5,435
27,33	-5,382
27,36	-5,487
27,39	-5,424
27,42	-5,392
27,45	-5,413
27,48	-5,448
27,51	-5,400
27,54	-5,319
27,57	-5,475
27,60	-5,400
27,63	-5,428
27,66	-5,444
27,69	-5,447
27,72	-5,396
27,75	-5,509
27,78	-5,397
27,81	-5,408
27,84	-5,339
27,87	-5,436
27,90	-5,354
27,93	-5,527
27,96	-5,589
27,99	-5,457
28,02	-5,545
28,05	-5,442
28,08	-5,485
28,11	-5,402
28,14	-5,316
28,17	-5,434
28,20	-5,485
28,23	-5,340
28,26	-5,358
28,29	-5,386
28,32	-5,447
28,35	-5,400
28,38	-5,464
28,41	-5,490
28,44	-5,552
28,47	-5,505
28,50	-5,435
28,53	-5,570
28,56	-5,281
28,59	-5,336
28,62	-5,398
28,65	-5,448
28,68	-5,338
28,71	-5,444
28,74	-5,402
28,77	-5,428
28,80	-5,434
28,83	-5,411
28,86	-5,353
28,89	-5,461
28,92	-5,396
28,95	-5,395
28,98	-5,491
29,01	-5,473
29,04	-5,487
29,07	-5,480
29,10	-5,373
29,13	-5,573
29,16	-5,451
29,19	-5,357
29,22	-5,464
29,25	-5,400
29,28	-5,307
29,31	-5,437
29,34	-5,344
29,37	-5,372
29,40	-5,513
29,43	-5,494
29,46	-5,356
29,49	-5,435
29,52	-5,408
29,55	-5,355
29,58	-5,269
29,61	-5,442
29,64	-5,326
29,67	-5,449
29,70	-5,316
29,73	-5,391
29,76	-5,503
29,79	-5,334
29,82	-5,364
29,85	-5,481
29,88	-5,376
29,91	-5,387
29,94	-5,451
