Kat [deg]	Moment obrotowy [mNm]
0,00	5,598
0,03	5,630
0,06	5,658
0,09	5,574
0,12	5,597
0,15	5,757
0,18	5,684
0,21	5,678
0,24	5,730
0,27	5,635
0,30	5,591
0,33	5,604
0,36	5,760
0,39	5,747
0,42	5,625
0,45	5,610
0,48	5,739
0,51	5,721
0,54	5,566
0,57	5,527
0,60	5,571
0,63	5,555
0,66	5,634
0,69	5,710
0,72	5,591
0,75	5,699
0,78	5,770
0,81	5,717
0,84	5,654
0,87	5,800
0,90	5,598
0,93	5,592
0,96	5,612
0,99	5,665
1,02	5,680
1,05	5,651
1,08	5,783
1,11	5,749
1,14	5,609
1,17	5,816
1,20	5,789
1,23	5,651
1,26	5,636
1,29	5,763
1,32	5,689
1,35	5,756
1,38	5,647
1,41	5,573
1,44	5,679
1,47	5,691
1,50	5,646
1,53	5,775
1,56	5,648
1,59	5,694
1,62	5,711
1,65	5,780
1,68	5,676
1,71	5,806
1,74	5,679
1,77	5,718
1,80	5,632
1,83	5,776
1,86	5,762
1,89	5,607
1,92	5,768
1,95	5,790
1,98	5,601
2,01	5,776
2,04	5,746
2,07	5,771
2,10	5,681
2,13	5,656
2,16	5,740
2,19	5,807
2,22	5,859
2,25	5,736
2,28	5,694
2,31	5,870
2,34	5,797
2,37	5,726
2,40	5,695
2,43	5,715
2,46	5,578
2,49	5,706
2,52	5,648
2,55	5,686
2,58	5,802
2,61	5,716
2,64	5,611
2,67	5,784
2,70	5,747
2,73	5,764
2,76	5,674
2,79	5,790
2,82	5,729
2,85	5,767
2,88	5,786
2,91	5,699
2,94	5,675
2,97	5,698
3,00	5,718
3,03	5,737
3,06	5,710
3,09	5,698
3,12	5,752
3,15	5,832
3,18	5,667
3,21	5,719
3,24	5,672
3,27	5,630
3,30	5,812
3,33	5,660
3,36	5,693
3,39	5,764
3,42	5,629
3,45	5,851
3,48	5,639
3,51	5,813
3,54	5,632
3,57	5,876
3,60	5,613
3,63	5,742
3,66	5,792
3,69	5,689
3,72	5,722
3,75	5,869
3,78	5,649
3,81	5,812
3,84	5,756
3,87	5,724
3,90	5,809
3,93	5,766
3,96	5,801
3,99	5,819
4,02	5,791
4,05	5,625
4,08	5,731
4,11	5,770
4,14	5,611
4,17	5,731
4,20	5,809
4,23	5,690
4,26	5,679
4,29	5,838
4,32	5,825
4,35	5,735
4,38	5,768
4,41	5,739
4,44	5,586
4,47	5,756
4,50	5,769
4,53	5,714
4,56	5,800
4,59	5,715
4,62	5,749
4,65	5,847
4,68	5,797
4,71	5,776
4,74	5,771
4,77	5,882
4,80	5,824
4,83	5,886
4,86	5,650
4,89	5,875
4,92	5,859
4,95	5,833
4,98	5,724
5,01	5,750
5,04	5,798
5,07	5,821
5,10	5,789
5,13	5,807
5,16	5,760
5,19	5,818
5,22	5,788
5,25	5,777
5,28	5,841
5,31	5,777
5,34	5,807
5,37	5,696
5,40	5,755
5,43	5,807
5,46	5,742
5,49	5,876
5,52	5,775
5,55	5,805
5,58	5,845
5,61	5,818
5,64	5,758
5,67	5,669
5,70	5,860
5,73	5,901
5,76	5,921
5,79	5,917
5,82	5,812
5,85	5,743
5,88	5,885
5,91	5,815
5,94	5,775
5,97	5,772
6,00	5,897
6,03	5,782
6,06	5,799
6,09	5,891
6,12	5,817
6,15	5,840
6,18	5,892
6,21	5,857
6,24	5,839
6,27	5,844
6,30	5,869
6,33	5,776
6,36	5,881
6,39	5,911
6,42	5,796
6,45	5,764
6,48	5,819
6,51	5,884
6,54	5,871
6,57	5,802
6,60	5,884
6,63	5,850
6,66	5,879
6,69	5,890
6,72	5,768
6,75	5,808
6,78	5,908
6,81	5,758
6,84	5,884
6,87	6,000
6,90	5,905
6,93	5,926
6,96	6,009
6,99	6,073
7,02	5,870
7,05	5,894
7,08	5,852
7,11	5,907
7,14	5,836
7,17	5,922
7,20	6,036
7,23	5,878
7,26	5,887
7,29	5,906
7,32	5,793
7,35	5,945
7,38	5,932
7,41	5,899
7,44	5,975
7,47	5,912
7,50	6,056
7,53	5,864
7,56	5,862
7,59	6,001
7,62	5,907
7,65	5,909
7,68	5,879
7,71	5,915
7,74	6,068
7,77	5,897
7,80	5,829
7,83	5,972
7,86	5,869
7,89	5,876
7,92	5,826
7,95	5,902
7,98	5,980
8,01	6,024
8,04	5,937
8,07	5,984
8,10	5,968
8,13	5,931
8,16	5,965
8,19	5,931
8,22	5,882
8,25	5,911
8,28	5,959
8,31	6,074
8,34	5,857
8,37	5,990
8,40	6,057
8,43	5,996
8,46	5,916
8,49	5,931
8,52	5,976
8,55	6,042
8,58	6,033
8,61	5,968
8,64	6,052
8,67	5,928
8,70	6,015
8,73	5,906
8,76	5,956
8,79	5,984
8,82	5,955
8,85	5,937
8,88	6,043
8,91	6,142
8,94	6,019
8,97	6,100
9,00	5,954
9,03	6,068
9,06	5,970
9,09	6,034
9,12	6,000
9,15	6,025
9,18	6,030
9,21	6,072
9,24	5,921
9,27	6,035
9,30	5,979
9,33	5,945
9,36	5,878
9,39	5,992
9,42	6,068
9,45	5,921
9,48	5,957
9,51	5,840
9,54	5,891
9,57	5,939
9,60	6,026
9,63	5,996
9,66	5,934
9,69	5,989
9,72	6,020
9,75	5,866
9,78	5,990
9,81	5,985
9,84	6,047
9,87	5,955
9,90	5,900
9,93	5,966
9,96	5,979
9,99	5,929
10,02	5,865
10,05	5,912
10,08	6,126
10,11	5,822
10,14	6,093
10,17	5,993
10,20	5,962
10,23	5,959
10,26	6,019
10,29	5,898
10,32	5,922
10,35	5,894
10,38	5,841
10,41	5,982
10,44	5,882
10,47	5,904
10,50	5,886
10,53	5,846
10,56	5,967
10,59	5,957
10,62	5,853
10,65	5,961
10,68	6,056
10,71	5,962
10,74	5,772
10,77	5,847
10,80	5,862
10,83	6,007
10,86	5,968
10,89	5,883
10,92	5,919
10,95	5,986
10,98	5,761
11,01	5,807
11,04	5,836
11,07	5,819
11,10	5,914
11,13	5,821
11,16	5,927
11,19	5,925
