t0:07:33:25,760 09.03.2020
dt:0,000167
Y:1,533173
0,539352
1,478673
1,497908
0,661176
1,344026
1,921083
1,401732
1,642172
1,988406
1,763995
1,196556
1,674231
2,382729
1,812083
1,946730
3,004668
1,510732
1,671025
2,619963
1,145262
1,507526
2,709728
1,998024
1,722319
1,933907
1,712701
1,671025
1,606908
1,940318
1,946730
0,741322
1,587672
1,263879
-0,201204
1,196556
1,081145
0,619499
2,062141
1,844142
0,786205
2,116641
1,311967
1,045880
1,138850
1,735143
2,472493
2,046112
1,815289
3,370137
1,651790
1,497908
3,559284
1,622937
1,856966
3,751636
1,815289
1,770407
3,206638
1,747966
1,347232
1,985201
1,738348
1,562025
0,766969
1,751172
1,299144
-0,611556
1,876201
1,661407
-0,428821
2,033289
1,469055
-0,698114
1,635761
1,440202
0,526529
1,940318
1,978789
2,126259
1,991612
1,533173
2,998256
1,709496
1,872995
4,036958
1,911465
1,549202
4,261369
1,584467
1,638966
4,030547
1,972377
2,119847
3,540048
1,998024
1,600496
1,616525
1,510732
1,581261
0,446382
1,853760
1,930701
-1,470729
1,901848
1,363261
-1,906728
1,885819
1,796054
-1,634229
1,776819
1,722319
-0,784673
1,574849
1,340820
1,052292
1,911465
1,953142
2,331435
1,667819
1,956348
4,636456
1,667819
1,776819
5,825835
1,895436
1,738348
5,854688
1,433791
1,453026
4,630045
1,815289
1,850554
2,575081
1,898642
1,574849
0,145030
1,549202
1,356850
-0,755820
1,962759
1,821701
-1,714375
1,949936
1,446614
-2,660108
1,981995
1,687054
-2,669725
1,933907
1,350438
-1,406612
1,504320
1,632555
3,229079
1,924289
1,677437
5,918805
1,763995
1,597290
5,691188
2,151906
2,132671
5,053220
1,879407
1,722319
1,728731
1,331203
1,398526
0,385471
1,799260
1,693466
1,033057
2,068553
1,706290
1,462643
1,812083
1,177321
2,004436
2,193582
1,747966
1,735143
2,148700
1,382497
1,600496
1,626143
1,504320
2,100612
1,860172
1,430585
1,408144
1,510732
1,244644
1,507526
1,648584
1,853760
1,741554
1,885819
1,565231
1,501114
1,562025
1,558820
1,648584
2,103818
1,571643
1,632555
1,382497
1,036263
1,462643
1,603702
1,757584
1,956348
2,107024
1,610114
1,725525
1,587672
1,603702
1,876201
1,712701
1,808878
2,107024
2,049318
1,683849
1,895436
1,834525
1,645378
1,796054
1,667819
1,815289
1,247850
1,571643
1,619731
1,497908
1,680643
1,783231
1,754378
1,709496
1,674231
1,340820
1,408144
1,882613
1,812083
1,850554
2,097406
1,796054
1,696672
1,295938
1,449820
1,876201
1,747966
1,664613
1,850554
1,350438
1,632555
1,446614
1,055498
1,651790
1,792848
1,741554
1,821701
1,872995
1,706290
2,049318
1,831319
1,802466
1,674231
1,584467
1,594084
1,481879
1,202968
1,638966
1,930701
1,844142
1,998024
1,789642
1,780025
1,824907
1,360056
1,597290
1,571643
1,638966
2,238464
2,353876
2,103818
2,347464
1,837730
1,433791
1,735143
1,542790
1,751172
1,879407
1,763995
1,363261
1,552408
1,709496
1,456232
1,687054
1,959554
1,924289
2,145494
2,071759
1,597290
1,876201
2,004436
1,856966
1,940318
2,251288
1,472261
1,363261
1,571643
1,122821
1,783231
1,914671
1,856966
2,023671
1,940318
1,318379
1,392114
1,526761
1,645378
1,972377
1,680643
1,597290
1,594084
1,465849
1,395320
1,754378
1,600496
1,687054
1,754378
1,363261
1,600496
1,802466
1,651790
1,956348
2,078171
1,908260
1,773613
1,462643
1,581261
1,485085
1,494702
1,613319
2,193582
2,257700
2,119847
1,892230
1,308762
1,501114
1,565231
1,286321
1,651790
1,872995
1,815289
1,680643
1,850554
1,388908
1,536378
1,776819
1,703084
1,555614
1,840936
1,276703
1,523555
2,004436
1,783231
1,773613
1,905054
1,786436
1,671025
1,786436
1,465849
1,821701
1,879407
1,760790
2,171141
1,879407
1,517143
1,481879
1,148468
1,215791
1,856966
1,744760
1,690260
2,289758
1,953142
1,408144
1,433791
0,991380
1,574849
1,802466
1,760790
1,802466
1,780025
1,485085
1,427379
1,517143
1,481879
1,616525
1,568437
1,619731
1,369673
1,738348
1,767201
1,481879
1,523555
2,148700
1,879407
1,796054
1,869789
1,449820
1,344026
1,699878
1,574849
2,087788
2,177553
1,856966
1,622937
1,558820
1,161292
1,680643
1,529967
1,741554
2,058936
1,969171
1,738348
1,731937
1,917877
1,856966
1,796054
