t0:07:33:11,074 09.03.2020
dt:0,000167
Y:-4,035426
-3,878339
-3,932839
-3,984132
-4,362425
-4,465013
-4,128397
-4,170073
-4,186102
-3,631487
-3,958486
-4,214955
-3,932839
-4,247014
-4,131603
-3,897574
-4,157250
-4,144426
-3,798192
-4,596454
-4,557983
-4,224573
-4,381661
-4,121985
-4,112367
-4,125191
-4,295102
-3,817427
-4,429749
-4,509895
-4,339984
-4,012985
-3,788574
-4,045044
-3,737280
-3,702016
-4,051456
-4,269455
-4,333572
-4,320749
-4,182897
-3,958486
-3,984132
-4,198926
-4,381661
-4,247014
-4,141220
-3,942456
-3,955280
-3,955280
-3,977721
-4,442572
-4,509895
-4,356014
-4,256632
-4,038632
-4,051456
-3,868721
-3,977721
-4,339984
-4,538748
-4,320749
-4,154044
-4,141220
-4,006574
-3,932839
-4,032221
-4,404102
-4,288690
-4,173279
-4,349602
-4,176485
-3,952074
-4,093132
-4,170073
-4,282279
-4,477837
-4,349602
-4,083515
-4,224573
-3,971309
-3,759721
-4,070691
-4,093132
-3,772545
-4,263043
-4,150838
-3,939250
-3,766133
-4,218161
-4,638130
-4,253426
-4,073897
-4,038632
-3,724457
-3,839868
-3,897574
-3,798192
-4,138014
-4,538748
-4,359219
-4,388072
-4,359219
-3,875133
-3,772545
-3,734074
-4,154044
-4,301514
-4,330367
-4,269455
-4,061073
-4,086720
-4,128397
-3,833457
-4,263043
-4,477837
-4,205338
-4,378455
-4,253426
-4,083515
-3,968103
-4,471425
-4,131603
-4,497072
-4,275867
-3,589810
-3,936044
-4,102750
-3,804604
-4,234190
-4,804836
-4,586836
-4,583630
-4,266249
-4,003368
-3,980927
-3,775751
-3,900780
-4,173279
-4,455396
-4,330367
-4,426543
-3,987338
-4,083515
-4,080309
-4,375249
-4,054662
-3,811015
-4,465013
-4,176485
-3,955280
-4,240602
-4,259837
-4,025809
-4,243808
-4,336778
-4,256632
-4,311131
-4,051456
-4,038632
-4,247014
-4,266249
-4,699042
-4,372043
-4,317543
-4,676601
-3,964897
-3,541722
-4,067485
-3,836662
-4,086720
-4,750336
-4,009779
-4,022603
-3,891162
-3,730869
-4,009779
-4,497072
-4,061073
-4,339984
-4,602866
-4,112367
-4,224573
-4,006574
-4,073897
-3,929633
-3,839868
-4,112367
-4,259837
-4,099544
-4,272661
-4,083515
-4,102750
-4,804836
-4,327161
-4,298308
-4,586836
-3,932839
-3,952074
-4,192514
-3,868721
-4,429749
-4,500278
-3,913603
-4,423337
-4,240602
-3,702016
-4,186102
-4,477837
-4,150838
-4,051456
-3,772545
-3,711633
-3,836662
-3,801398
-3,964897
-4,016191
-4,362425
-4,458601
-3,964897
-3,887956
-4,227779
-3,932839
-4,105956
-4,420131
-4,221367
-4,362425
-4,561189
-3,929633
-3,772545
-4,035426
-3,907192
-3,775751
-4,275867
-4,346396
-4,506690
-4,054662
-4,054662
-4,016191
-3,971309
-4,073897
-4,253426
-4,327161
-4,336778
-4,192514
-3,650722
-3,737280
-3,990544
-4,141220
-3,887956
-4,054662
-4,263043
-3,923221
-3,987338
-4,105956
-3,791780
-4,032221
-4,545160
-3,948868
-3,820633
-4,115573
-3,971309
-3,811015
-4,176485
-4,442572
-4,131603
-4,548366
-4,721483
-3,980927
-3,871927
-4,497072
-4,327161
-4,195720
-4,814453
-4,339984
-4,320749
-4,170073
-4,138014
-3,859103
-3,855898
-4,000162
-4,192514
-3,724457
-4,003368
-3,830251
-3,330135
-4,016191
-4,211749
-3,836662
-4,230985
-4,224573
-3,573781
-3,846280
-4,006574
-3,657134
-3,599428
-4,138014
-4,570807
-3,823839
-4,144426
-4,638130
-3,669957
-4,224573
-5,086952
-4,352808
-4,529131
-4,961923
-4,016191
-3,814221
-4,125191
-3,785368
-4,064279
-4,150838
-4,525925
